# AngSepBCG_min[m] 	AngSepBCG_min[n] 	Radius[i](kpc/h100) 	Radius[j](kpc/h100) 	covariance(h100*M_sun/pc^2)^2 	correlation 	bias(1+K[m,i])(1+K[n,j])
0.05 	0.2 	246.779926762 	36.2223395765 	-0.363009084491 	-0.00165137894568 	0.852883086977
0.05 	0.2 	246.779926762 	53.167123502 	0.359019728756 	0.00240674673142 	0.856422215874
0.05 	0.2 	246.779926762 	78.0386649378 	0.718028847142 	0.00698298487892 	0.856218250938
0.05 	0.2 	246.779926762 	114.545095242 	-0.193714195924 	-0.00268494440929 	0.855493755581
0.05 	0.2 	246.779926762 	168.129206906 	-1.45777583398 	-0.0282531609608 	0.855461758649
0.05 	0.2 	246.779926762 	246.779926762 	-1.32735216232 	-0.0353069424438 	0.855716940344
0.05 	0.2 	246.779926762 	362.223395765 	1.94799429476 	0.0722905911003 	0.855567601484
0.05 	0.2 	246.779926762 	531.67123502 	2.28389003227 	0.110764149491 	0.855410815748
0.05 	0.2 	246.779926762 	780.386649378 	0.137640828264 	0.00869087478213 	0.855410520518
0.05 	0.2 	246.779926762 	1145.45095242 	0.00703915380342 	0.000589261178616 	0.855243901149
0.05 	0.2 	246.779926762 	1681.29206906 	0.0593215253384 	0.00649504179332 	0.854968956366
0.05 	0.2 	362.223395765 	24.6779926762 	-0.112150325963 	-0.000434781852671 	0.858414384582
0.05 	0.2 	362.223395765 	36.2223395765 	-0.0510334369452 	-0.000295988686923 	0.852989321402
0.05 	0.2 	362.223395765 	53.167123502 	-0.0235141656836 	-0.000200970676723 	0.85652889113
0.05 	0.2 	362.223395765 	78.0386649378 	0.160974388706 	0.00199593796178 	0.856324900788
0.05 	0.2 	362.223395765 	114.545095242 	0.194944509855 	0.00344489432087 	0.855600315188
0.05 	0.2 	362.223395765 	168.129206906 	1.20232201917 	0.029709007452 	0.855568314271
0.05 	0.2 	362.223395765 	246.779926762 	2.14159239465 	0.0726276193251 	0.855823527751
0.05 	0.2 	362.223395765 	362.223395765 	2.51453198779 	0.118971326731 	0.85567417029
0.05 	0.2 	362.223395765 	531.67123502 	3.35318370189 	0.207334903689 	0.855517365025
0.05 	0.2 	362.223395765 	780.386649378 	0.917313822418 	0.0738456976333 	0.855517069758
0.05 	0.2 	362.223395765 	1145.45095242 	-0.0429047416592 	-0.00457913778594 	0.855350429635
0.05 	0.2 	362.223395765 	1681.29206906 	0.0251470616015 	0.00351032987995 	0.855075450605
0.05 	0.2 	531.67123502 	24.6779926762 	-0.0321181269402 	-0.000161471583714 	0.858367027756
0.05 	0.2 	531.67123502 	36.2223395765 	-0.119979085856 	-0.000902403703505 	0.852942263865
0.05 	0.2 	531.67123502 	53.167123502 	0.142159810574 	0.00157563269154 	0.856481638323
0.05 	0.2 	531.67123502 	78.0386649378 	0.443175700713 	0.00712592455225 	0.856277659235
0.05 	0.2 	531.67123502 	114.545095242 	0.758699681587 	0.0173864062279 	0.855553113609
0.05 	0.2 	531.67123502 	168.129206906 	1.51821958172 	0.0486493404148 	0.855521114457
0.05 	0.2 	531.67123502 	246.779926762 	2.62515356181 	0.11545021122 	0.855776313857
0.05 	0.2 	531.67123502 	362.223395765 	3.74061422493 	0.229510779028 	0.855626964636
0.05 	0.2 	531.67123502 	531.67123502 	3.54203390197 	0.28401600375 	0.855470168021
0.05 	0.2 	531.67123502 	780.386649378 	2.45329837293 	0.256113609506 	0.855469872771
0.05 	0.2 	531.67123502 	1145.45095242 	0.0274657883168 	0.00380141702027 	0.855303241842
0.05 	0.2 	531.67123502 	1681.29206906 	0.00602200849591 	0.00109012694668 	0.855028277981
0.05 	0.2 	780.386649378 	24.6779926762 	-0.0207437047269 	-0.000136742268654 	0.858242034983
0.05 	0.2 	780.386649378 	36.2223395765 	0.0272579817544 	0.0002688187648 	0.852818061029
0.05 	0.2 	780.386649378 	53.167123502 	-0.00918094223911 	-0.000133424617482 	0.856356920094
0.05 	0.2 	780.386649378 	78.0386649378 	0.0281592176429 	0.000593685481743 	0.856152970709
0.05 	0.2 	780.386649378 	114.545095242 	0.0290765512669 	0.000873681981827 	0.855428530589
0.05 	0.2 	780.386649378 	168.129206906 	0.0176451786034 	0.000741376799018 	0.855396536097
0.05 	0.2 	780.386649378 	246.779926762 	0.24706534766 	0.0142469670676 	0.855651698336
0.05 	0.2 	780.386649378 	362.223395765 	1.07545880515 	0.0865215936204 	0.855502370862
0.05 	0.2 	780.386649378 	531.67123502 	2.65337501803 	0.278971154004 	0.85534559708
0.05 	0.2 	780.386649378 	780.386649378 	3.18760200411 	0.436331876306 	0.855345301872
0.05 	0.2 	780.386649378 	1145.45095242 	1.1664346155 	0.211682233942 	0.855178695207
0.05 	0.2 	780.386649378 	1681.29206906 	0.0625559995698 	0.0148482490542 	0.854903771386
0.05 	0.2 	1145.45095242 	24.6779926762 	0.0801220674869 	0.000704026189663 	0.857985747826
0.05 	0.2 	1145.45095242 	36.2223395765 	-0.0251576255839 	-0.000330716408357 	0.852563393572
0.05 	0.2 	1145.45095242 	53.167123502 	0.0207733350199 	0.000402415912333 	0.856101195867
0.05 	0.2 	1145.45095242 	78.0386649378 	0.0124865937117 	0.000350913465651 	0.855897307385
0.05 	0.2 	1145.45095242 	114.545095242 	0.00982404037591 	0.00039347834186 	0.855173083597
